	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	3.16651	3.54771	2.27869	3.31836	2.82121	2.94091	3.23182	2.63939	2.95304	3.38682	2.83882	3.38591	3.50014	3.22607	3.30982	2.28289	3.43596	3.90152	2.72041	2.58535	3.70009	3.18381	4.24685	2.77776	3.2151	2.54948	3.16072	3.63633	3.29271	4.18473
alpha_rarefaction_10_1.txt	10	1	2.80189	2.82606	2.87673	2.72095	2.96591	2.8119	3.15246	2.15035	3.29896	2.85121	2.6523	2.74985	3.37912	2.60073	3.31417	3.00702	3.84004	3.70828	2.8383	3.62713	3.70507	2.80914	2.35296	2.85116	3.49328	2.84972	2.95995	3.27077	3.17578	2.72799
alpha_rarefaction_10_2.txt	10	2	3.05554	2.76406	3.55091	3.06539	2.78796	2.50272	2.87168	2.4918	2.82685	3.01562	2.71776	3.78394	2.88441	2.76188	2.44884	2.07272	2.78529	3.33251	2.22847	3.43756	3.42624	2.61171	2.98743	2.89564	2.75859	2.99071	2.50193	2.27844	3.95268	2.74526
alpha_rarefaction_10_3.txt	10	3	3.11208	3.12094	2.32198	2.5264	3.65179	2.36762	2.90392	2.59464	3.71329	3.1547	2.99717	3.33917	4.10528	2.63364	2.32789	2.75295	3.45354	2.66064	3.03961	2.90274	2.69108	2.79087	3.5606	3.04977	3.22697	3.50147	3.26143	3.01258	2.39489	2.78201
alpha_rarefaction_10_4.txt	10	4	3.07923	3.34599	3.22881	2.52996	2.52117	2.51744	2.77514	2.21852	2.8624	2.42034	3.25527	3.14913	3.3058	2.70705	2.64484	2.91821	2.71349	2.7284	2.84744	3.84904	2.66579	2.42248	2.93904	3.1696	3.46953	2.33834	2.94763	3.61118	3.54561	3.03624
alpha_rarefaction_10_5.txt	10	5	3.59203	3.68018	3.27815	3.08214	2.62298	2.17539	2.82872	2.67069	3.24993	3.32351	2.8708	3.91646	3.14184	3.68309	3.22536	2.41496	3.43136	3.78176	3.5585	3.00952	2.44637	3.47692	3.43726	3.6231	2.96056	2.32421	3.28775	2.48186	2.14159	2.96931
alpha_rarefaction_10_6.txt	10	6	3.15696	3.99775	2.49408	3.74206	2.37702	2.08941	2.95936	3.0944	2.94071	3.84036	3.07964	3.03445	2.86033	3.31632	3.33317	2.89857	3.83397	3.63797	3.06563	3.1126	2.97477	2.2303	3.233	2.94992	3.05889	3.35151	2.81786	2.5327	3.09891	2.59633
alpha_rarefaction_10_7.txt	10	7	3.17078	2.37908	2.87123	3.06637	2.56774	2.88564	2.83359	2.31765	3.94099	2.42987	3.15428	3.17531	2.67255	3.28844	3.58126	2.39832	2.20968	3.40508	2.97711	2.54876	2.99538	2.8105	2.93755	2.86318	3.73829	2.88895	2.59571	3.78227	2.01169	2.72684
alpha_rarefaction_10_8.txt	10	8	3.18187	2.95909	2.56097	3.33265	2.9686	2.66046	2.59331	2.71773	3.08852	2.31663	3.16757	2.91648	3.42264	3.1195	3.28932	2.89402	3.5236	2.61093	3.22524	1.96068	3.90457	3.04326	2.91879	2.60141	2.86586	3.06633	3.15094	2.65641	2.9656	2.86457
alpha_rarefaction_10_9.txt	10	9	3.21921	2.7122	2.80412	2.86754	2.88077	2.99171	2.92297	2.59035	2.64787	2.37734	2.07258	2.70435	3.11921	2.97974	3.69223	2.91138	2.64585	2.74786	3.32612	2.99709	3.19543	3.3492	3.28241	2.47624	3.55175	3.47922	2.74905	3.15138	3.01041	3.46387
