	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_10_0.txt	10	0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_1.txt	10	1	23.0	55.0	55.0	55.0	55.0	13.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0
alpha_rarefaction_10_2.txt	10	2	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_3.txt	10	3	55.0	55.0	23.0	23.0	55.0	13.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_4.txt	10	4	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0
alpha_rarefaction_10_5.txt	10	5	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_6.txt	10	6	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	13.0	23.0	55.0	23.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_7.txt	10	7	55.0	55.0	55.0	55.0	23.0	55.0	29.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0	12.0
alpha_rarefaction_10_8.txt	10	8	55.0	55.0	55.0	55.0	55.0	13.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	29.0	55.0	55.0	55.0	55.0	55.0	55.0	23.0
alpha_rarefaction_10_9.txt	10	9	55.0	55.0	55.0	12.0	23.0	55.0	55.0	55.0	23.0	23.0	23.0	55.0	23.0	55.0	55.0	23.0	55.0	23.0	55.0	55.0	23.0	55.0	55.0	55.0	55.0	55.0	23.0	55.0	55.0	55.0
alpha_rarefaction_69_0.txt	69	0	318.666666667	393.6	265.428571429	323.2	225.5	389.5	265.428571429	177.111111111	164.0	506.5	506.5	461.0	358.0	271.2	358.0	431.0	431.0	265.428571429	214.111111111	225.75	318.666666667	318.666666667	288.666666667	431.0	291.0	375.75	381.2	248.428571429	194.428571429	219.0
alpha_rarefaction_69_1.txt	69	1	291.0	188.666666667	318.666666667	195.111111111	312.0	248.428571429	205.0	265.428571429	177.111111111	431.0	506.5	461.0	948.0	289.666666667	318.666666667	431.0	289.666666667	349.166666667	349.166666667	218.375	265.428571429	323.2	461.0	214.111111111	393.6	222.2	346.2	674.0	288.666666667	195.111111111
alpha_rarefaction_69_2.txt	69	2	256.857142857	318.666666667	417.75	165.875	265.428571429	269.2	165.909090909	381.2	256.857142857	393.6	393.6	241.142857143	209.428571429	169.142857143	460.0	241.142857143	265.428571429	241.142857143	225.75	674.0	490.75	613.0	298.5	289.666666667	358.0	248.428571429	358.0	298.5	430.25	164.166666667
alpha_rarefaction_69_3.txt	69	3	225.75	265.428571429	241.142857143	247.625	388.5	554.0	917.5	358.0	151.090909091	252.0	431.0	289.666666667	613.0	358.0	210.428571429	214.111111111	261.166666667	633.333333333	358.0	403.5	211.125	214.111111111	388.5	381.2	632.333333333	261.0	218.142857143	318.666666667	139.1	189.142857143
alpha_rarefaction_69_4.txt	69	4	218.142857143	171.0	195.111111111	461.0	260.166666667	613.0	358.0	265.428571429	536.0	312.0	324.2	346.2	214.111111111	188.666666667	632.333333333	431.0	165.0	482.0	318.666666667	381.2	349.166666667	381.2	632.333333333	291.0	256.857142857	218.375	302.0	461.0	235.166666667	226.5
